system,phase,filename,formation_energy_eV_per_atom,distance_to_hull_eV_per_atom,source_relative_path,sha256
MgPd,Mg1Pd1,struct_4527_4_relaxed.vasp,-0.7279580187499985,0.0,MgPd/Mg1Pd1/xyz2poscar/struct_4527_4_relaxed.vasp,d63b193115634e9dd44c56dfa0264a0486efc2f5ea9657975aab9e55ed085516
MgPd,Mg1Pd2,struct_9388_2_relaxed.vasp,-0.5916441002777751,0.0,MgPd/Mg1Pd2/xyz2poscar/struct_9388_2_relaxed.vasp,590dca472d8426417c6be488eb574a011ac8f8fd40f78f2b242691f3f794a94e
MgPd,Mg1Pd3,struct_17412_6_relaxed.vasp,-0.47799111015624796,0.0,MgPd/Mg1Pd3/xyz2poscar/struct_17412_6_relaxed.vasp,599d8209329001d70c888b5d277b0bda25529e79244f54bc816e861488194612
MgPd,Mg1Pd4,struct_2486_3_relaxed.vasp,-0.3976174414999967,0.0,MgPd/Mg1Pd4/xyz2poscar/struct_2486_3_relaxed.vasp,a4def304bb7531f8c4d4d047fec2bdedc33c10458f2cd077d0b022613e3b15e6
MgPd,Mg1Pd4,struct_2977_3_relaxed.vasp,-0.397102775999997,0.0005146654999997335,MgPd/Mg1Pd4/xyz2poscar/struct_2977_3_relaxed.vasp,f7a61b2344ce85c9a5840a6e97c66bcbcd5e894adfff44ca2aca66af0d7c2433
MgPd,Mg2Pd1,struct_2245_8_relaxed.vasp,-0.5356838362500002,0.0,MgPd/Mg2Pd1/xyz2poscar/struct_2245_8_relaxed.vasp,cea28076a3d9547da49b4e726fa9955fd982337370124e14514350ac3b0682c6
MgPd,Mg2Pd3,struct_3208_4_relaxed.vasp,-0.6617440254999977,0.0,MgPd/Mg2Pd3/xyz2poscar/struct_3208_4_relaxed.vasp,d75de06a884ceaf87836e330d46d6e41c6bc38d54308506763fcd3f010a82617
MgPd,Mg3Pd1,struct_8370_4_relaxed.vasp,-0.4189806687500002,0.0,MgPd/Mg3Pd1/xyz2poscar/struct_8370_4_relaxed.vasp,5f73ad96bf98bd118efe6e5d8fe1e726794538b9d06228b8257f7336a373f6d5
MgPd,Mg3Pd5,struct_2159_8_relaxed.vasp,-0.6369624381249981,0.0,MgPd/Mg3Pd5/xyz2poscar/struct_2159_8_relaxed.vasp,2e7a6bbea4ecd05dad431338d49b6aab4092c6bc138b6ce812b8d43d93212dd9
MgPd,Mg4Pd1,struct_8909_0_relaxed.vasp,-0.34714158449999954,0.0,MgPd/Mg4Pd1/xyz2poscar/struct_8909_0_relaxed.vasp,5bd375faad2761cada5b4109c4ae7f9c6b79037cc1954b14b5f45e9d4def8742
MgSc,Mg3Sc1,struct_11364_8_relaxed.vasp,-0.04631495281249931,0.0,MgSc/Mg3Sc1/xyz2poscar/struct_11364_8_relaxed.vasp,a48d17e65cf920d54e769611742d29b062773e1cbaa8bf28dc929c34edd1ac45
MgSc,Mg3Sc2,struct_13894_9_relaxed.vasp,-0.0452906357499991,0.0,MgSc/Mg3Sc2/xyz2poscar/struct_13894_9_relaxed.vasp,23f439c49dba26715495844c317e5566ddbd8eb67b81a735ffa6af344c4eab8e
MgSc,Mg4Sc3,struct_19677_4_relaxed.vasp,-0.04356818857142792,0.0,MgSc/Mg4Sc3/xyz2poscar/struct_19677_4_relaxed.vasp,3edd2d3bb8901c65ee93858ac56924009cf0f72d5fbd9096f7459149086ba180
MgY,Mg1Y4,struct_4242_4_relaxed.vasp,-0.6690727000000024,0.0,MgY/Mg1Y4/xyz2poscar/struct_4242_4_relaxed.vasp,cdab12bcbe05fbfc12cba6ed35bae152b8f1a34f256e998617c0e691783fcacf
MgY,Mg3Y5,struct_5590_2_relaxed.vasp,-0.7420831537500021,0.0,MgY/Mg3Y5/xyz2poscar/struct_5590_2_relaxed.vasp,b51ab1290c63b1ccdfbc0cc98768fb4cb0c4754937958809d3a5b045253cba57
MoTi,Mo1Ti1,struct_3699_5_relaxed.vasp,-0.10126848687499823,0.0,MoTi/Mo1Ti1/xyz2poscar/struct_3699_5_relaxed.vasp,75d0e1dc86aab2af7ff97dcdb1b86030a6b2f5904df6754cea71ebb135a92d6d
MoTi,Mo2Ti1,struct_1784_7_relaxed.vasp,-0.11371155541666174,0.0,MoTi/Mo2Ti1/xyz2poscar/struct_1784_7_relaxed.vasp,29d9b4e2765d70187b0748fb684371c1513a58f1b83079b1ffc0de2b7548bc89
